"","host","PSR","Citations","chao_est_PSR","PSR_direct","PSR_close","prop_close","prop_direct"
"1","Cheirogaleus_medius",11,6,17,6,1,0.0909090909090909,0.545454545454545
"2","Daubentonia_madagascariensis",5,3,15,4,2,0.4,0.8
"3","Eulemur_albifrons",4,3,10,4,1,0.25,1
"4","Eulemur_collaris",4,2,10,2,2,0.5,0.5
"5","Eulemur_coronatus",3,2,6,2,2,0.666666666666667,0.666666666666667
"6","Eulemur_flavifrons",2,1,3,2,0,0,1
"7","Eulemur_fulvus",6,4,14,5,2,0.333333333333333,0.833333333333333
"8","Eulemur_macaco",13,6,43.25,10,6,0.461538461538462,0.769230769230769
"9","Eulemur_mongoz",4,2,10,3,2,0.5,0.75
"10","Eulemur_rubriventer",6,3,21,5,4,0.666666666666667,0.833333333333333
"11","Eulemur_rufus",16,6,31.125,14,9,0.5625,0.875
"12","Galago_moholi",5,6,13,3,3,0.6,0.6
"13","Hapalemur_griseus",5,5,13,3,2,0.4,0.6
"14","Lemur_catta",20,4,52,18,7,0.35,0.9
"15","Microcebus_murinus",22,14,43.125,11,4,0.181818181818182,0.5
"16","Mirza_coquereli",4,1,10,2,0,0,0.5
"17","Nycticebus_coucang",10,10,50.5,5,1,0.1,0.5
"18","Propithecus_coquereli",4,3,8.5,1,0,0,0.25
"19","Propithecus_diadema",8,5,12.1666666666667,7,4,0.5,0.875
"20","Varecia_rubra",9,1,45,8,3,0.333333333333333,0.888888888888889
"21","Varecia_variegata",5,4,13,3,0,0,0.6
